"from_id","to_id","confidence"
2055,10384,0.4929
2055,10385,0.4307
2062,10385,0.4868
2055,10386,0.3799
2055,10387,0.2826
2056,10388,0.7908
2056,10389,0.4174
2056,10390,0.4099
2056,10391,0.4093
2056,10392,0.2784
2056,10394,0.1943
2057,10396,0.6289
2058,10396,0.638
2060,10396,0.6604
2057,10397,0.5481
2057,10398,0.537
2057,10399,0.5002
2057,10400,0.4745
2059,10400,0.5333
2060,10400,0.4771
2057,10401,0.4572
2057,10402,0.4467
2057,10403,0.3201
2057,10404,0.2925
2057,10406,0.2246
2058,10407,0.6351
2058,10408,0.6142
2058,10409,0.6069
2061,10409,0.3618
2063,10409,0.4625
2058,10410,0.5371
2058,10411,0.5317
2058,10412,0.495
2058,10413,0.4814
2058,10414,0.3908
2060,10414,0.4601
2058,10415,0.3755
2069,10415,0.4461
2091,10415,0.4428
2096,10415,0.4871
2097,10415,0.4401
2058,10416,0.3495
2059,10417,0.6717
2059,10418,0.6163
2059,10419,0.5635
2059,10420,0.5575
2059,10421,0.4543
2059,10423,0.2956
2060,10424,0.7073
2060,10425,0.5617
2060,10426,0.5496
2060,10427,0.4585
2060,10428,0.4206
2060,10429,0.402
2060,10430,0.3201
2061,10433,0.6573
2061,10434,0.5992
2061,10435,0.568
2061,10436,0.5057
2061,10437,0.4559
2061,10438,0.436
2062,10438,0.4486
2061,10439,0.3538
2062,10440,0.6302
2065,10440,0.5782
2062,10441,0.5873
2062,10442,0.5387
2062,10443,0.4829
2062,10444,0.4615
2062,10445,0.4182
2064,10445,0.3963
2062,10446,0.3847
2062,10447,0.3822
2062,10448,0.3559
2063,10449,0.6643
2063,10450,0.5618
2064,10450,0.6227
2063,10451,0.5433
2063,10452,0.5251
2064,10452,0.5933
2063,10453,0.5142
2063,10454,0.4959
2063,10455,0.4794
2063,10456,0.3751
2063,10457,0.1716
2064,10458,0.6845
2064,10459,0.5842
2064,10460,0.3543
2064,10461,0.3077
2065,10463,0.5542
2065,10464,0.5017
2065,10465,0.4164
2065,10466,0.3159
2065,10467,0.2797
2065,10468,0.2683
2066,10470,0.5959
2066,10471,0.5212
2066,10472,0.3191
2066,10473,0.2071
2067,10474,0.6582
2067,10475,0.5765
2067,10476,0.4558
2067,10477,0.3651
2067,10478,0.3643
2067,10479,0.335
2068,10479,0.381
2069,10479,0.3618
2084,10479,0.2877
2087,10479,0.451
2091,10479,0.3655
2093,10479,0.3612
2067,10480,0.3329
2068,10482,0.6677
2068,10484,0.3087
2069,10485,0.6534
2069,10486,0.3724
2091,10486,0.3147
2069,10487,0.3191
2069,10488,0.2968
2091,10488,0.272
2092,10488,0.3123
2100,10488,0.3616
2102,10488,0.3603
2069,10489,0.2743
2073,10489,0.2596
2069,10490,0.217
2070,10491,0.6912
2070,10492,0.65
2070,10493,0.5408
2070,10494,0.4638
2070,10495,0.4114
2070,10496,0.3922
2071,10496,0.3671
2070,10497,0.3466
2100,10497,0.5812
2070,10498,0.2202
2080,10498,0.2972
2071,10499,0.5954
2074,10499,0.5064
2071,10500,0.5452
2071,10501,0.5192
2089,10501,0.5012
2071,10502,0.422
2090,10502,0.417
2071,10503,0.3971
2079,10503,0.3757
2083,10503,0.3956
2071,10504,0.313
2071,10505,0.2502
2072,10507,0.5263
2073,10507,0.5037
2079,10507,0.5026
2082,10507,0.53
2084,10507,0.4953
2089,10507,0.4954
2090,10507,0.5311
2072,10508,0.3247
2083,10508,0.4758
2072,10509,0.2827
2072,10510,0.179
2073,10514,0.5899
2073,10515,0.4746
2073,10516,0.4301
2073,10517,0.2284
2074,10518,0.5452
2074,10519,0.4137
2074,10520,0.3879
2074,10521,0.3507
2074,10522,0.3248
2074,10523,0.2678
2074,10524,0.2389
2075,10526,0.5649
2075,10527,0.4722
2075,10528,0.4686
2075,10529,0.4179
2075,10530,0.4011
2075,10531,0.3972
2075,10532,0.3216
2076,10534,0.612
2076,10535,0.3637
2076,10536,0.3486
2076,10537,0.3404
2080,10537,0.411
2076,10538,0.3282
2076,10539,0.3277
2080,10539,0.363
2089,10539,0.3227
2076,10540,0.3227
2077,10542,0.5288
2077,10543,0.5254
2093,10543,0.5034
2077,10544,0.4076
2079,10544,0.267
2087,10544,0.339
2077,10545,0.3473
2081,10545,0.2629
2084,10545,0.2357
2087,10545,0.2577
2077,10546,0.3418
2084,10546,0.3927
2087,10546,0.3546
2078,10548,0.5631
2078,10549,0.5535
2078,10550,0.5484
2078,10551,0.5182
2083,10551,0.5621
2078,10552,0.4488
2078,10553,0.3282
2081,10553,0.3403
2079,10556,0.4805
2088,10556,0.44
2090,10556,0.4264
2079,10557,0.3692
2080,10557,0.4387
2081,10557,0.3788
2089,10557,0.368
2079,10558,0.339
2079,10561,0.1189
2080,10562,0.3593
2080,10563,0.3502
2080,10564,0.319
2081,10565,0.5357
2081,10566,0.3626
2081,10567,0.2225
2082,10568,0.4655
2085,10568,0.6472
2091,10568,0.5991
2092,10568,0.5745
2082,10569,0.3675
2082,10570,0.3431
2082,10571,0.3199
2094,10571,0.3458
2095,10571,0.4775
2096,10571,0.4589
2099,10571,0.5307
2082,10572,0.2581
2083,10573,0.5696
2088,10573,0.543
2083,10574,0.5068
2083,10575,0.4892
2083,10576,0.4079
2083,10577,0.1929
2084,10578,0.6188
2084,10579,0.4424
2084,10580,0.4407
2084,10581,0.1566
2085,10582,0.6839
2085,10583,0.6462
2085,10584,0.5731
2085,10585,0.5279
2085,10586,0.4466
2085,10587,0.4463
2085,10588,0.333
2085,10589,0.2594
2085,10590,0.2182
2086,10591,0.5043
2086,10592,0.4481
2086,10593,0.3285
2086,10594,0.2893
2086,10595,0.2818
2086,10596,0.1095
2087,10597,0.4298
2087,10598,0.3877
2087,10599,0.2873
2088,10600,0.3822
2088,10601,0.3513
2089,10602,0.5244
2089,10603,0.4823
2089,10604,0.2814
2090,10606,0.3334
2090,10607,0.2672
2091,10610,0.4344
2091,10611,0.3492
2092,10612,0.514
2092,10613,0.3647
2092,10614,0.3402
2092,10616,0.2936
2092,10617,0.2352
2093,10618,0.6176
2093,10619,0.5157
2093,10620,0.2587
2093,10621,0.2414
2093,10622,0.2249
2093,10623,0.178
2094,10624,0.4731
2096,10624,0.3591
2094,10625,0.4641
2094,10626,0.3378
2095,10627,0.4926
2095,10628,0.4512
2095,10629,0.3637
2100,10629,0.3734
2101,10629,0.6156
2102,10629,0.4435
2096,10631,0.5256
2096,10632,0.3986
2098,10632,0.2963
2096,10633,0.3235
2096,10634,0.2541
2097,10636,0.6358
2098,10636,0.5554
2100,10636,0.4611
2102,10636,0.4492
2097,10637,0.5387
2097,10638,0.4874
2097,10639,0.2897
2098,10641,0.4988
2098,10642,0.4756
2098,10643,0.4107
2098,10644,0.2159
2099,10646,0.564
2099,10647,0.3087
2099,10648,0.1288
2100,10651,0.499
2100,10652,0.3449
2100,10653,0.3198
2101,10654,0.623
2101,10655,0.6165
2101,10656,0.5701
2101,10657,0.4892
2101,10658,0.4536
2101,10659,0.2421
2102,10660,0.5653
2102,10661,0.5242
2102,10662,0.3919
2102,10663,0.3328
2102,10664,0.3181
