"from_id","to_id","strength"
50892,2085,1
50893,2085,1
50894,2085,1
50895,2085,1
50896,2086,1
50897,2086,1
50898,2086,1
50899,2086,1
50900,2086,1
50901,2086,1
50902,2086,1
50903,2086,1
50904,2086,1
50905,2086,1
50906,2086,1
50907,2086,1
50908,2087,1
50909,2087,1
50910,2087,1
50911,2087,1
50912,2087,1
50913,2087,1
50914,2087,1
50915,2087,1
50916,2087,1
50917,2087,1
50918,2087,1
50919,2088,1
50920,2088,1
50921,2088,1
50922,2088,1
50923,2088,1
50924,2088,1
50925,2088,1
50926,2088,1
50927,2088,1
50928,2089,1
50929,2089,1
50930,2089,1
50931,2089,1
50932,2089,1
50933,2089,1
50934,2089,1
50935,2089,1
50936,2089,1
50937,2089,1
50938,2090,1
50939,2090,1
50940,2090,1
50941,2090,1
50942,2090,1
50943,2090,1
50944,2090,1
50945,2090,1
50946,2090,1
50947,2091,1
50948,2091,1
50949,2091,1
50950,2091,1
50951,2091,1
50952,2091,1
50953,2091,1
50954,2091,1
50955,2091,1
50956,2091,1
50957,2091,1
50958,2091,1
50959,2092,1
50960,2092,1
50961,2092,1
50962,2092,1
50963,2092,1
50964,2092,1
